id,type,date,publisher,title,url
S_NDX,index,2026-05-01,Nasdaq,Nasdaq-100 Index component and weight snapshot,https://www.nasdaq.com/docs/2026/05/04/NDX.pdf
S_HK_FACT,index,2026-06-30,Hang Seng Indexes,Hang Seng China (Hong Kong-listed) 100 Index factsheet,https://www.hsi.com.hk/static/uploads/contents/en/dl_centre/factsheets/hschk100e.pdf
S_HK_METH,index,2026-06,Hang Seng Indexes,Hang Seng China (Hong Kong-listed) 100 Index methodology,https://www.hsi.com.hk/static/uploads/contents/en/dl_centre/methodologies/IM_hschk100e.pdf
S_HK_LIVE,index,2026-07-25,Hang Seng Indexes,HSCHK100 constituent endpoint,https://www.hsi.com.hk/data/eng/rt/index-series/hschk100/constituents.do?1
S_NVDA_AUTO_26,company,2026,NVIDIA,"BYD, Geely, Isuzu and Nissan adopt NVIDIA DRIVE Hyperion",https://investor.nvidia.com/news/press-release-details/2026/BYD-Geely-Isuzu-and-Nissan-Adopt-NVIDIA-DRIVE-Hyperion-for-Level-4-Vehicles/default.aspx
S_NVDA_AUTO_24,company,2024-04-25,NVIDIA,AI drives future of transportation at Auto China,https://blogs.nvidia.com/blog/nvidia-partners-auto-china/
S_NVDA_LENOVO,company,2024-10-15,NVIDIA,NVIDIA and Lenovo bring hybrid AI to every enterprise,https://blogs.nvidia.com/blog/nvidia-lenovo-tech-world/
S_NVDA_CLOUD,product,2026,NVIDIA,NVIDIA AI Enterprise cloud deployment guide,https://docs.nvidia.com/ai-enterprise/deployment/cloud/latest/overview.html
S_NVDA_BAIDU,company,2017-07-05,NVIDIA,NVIDIA and Baidu announce broad AI partnership,https://nvidianews.nvidia.com/news/nvidia-baidu-announce-partnership-to-accelerate-ai
S_NVDA_NIO,product,2026,NVIDIA,NIO automotive partner profile,https://www.nvidia.com/en-us/solutions/autonomous-vehicles/partners/nio/
S_NVDA_CMCC,company,2022-07-25,NVIDIA,Accelerating cloud-native applications at China Mobile Bigcloud,https://developer.nvidia.com/blog/accelerating-cloud-native-applications-at-china-mobile-bigcloud/
S_QCOM_XIAOMI,company,2025-05-20,Qualcomm,Qualcomm and Xiaomi expand collaboration with multi-year agreement,https://www.qualcomm.com/news/releases/2025/05/qualcomm-and-xiaomi-expand-collaboration-with-multi-year-agreeme
S_QCOM_AUTO,company,2026-01,Qualcomm,Snapdragon Digital Chassis momentum with major automakers,https://www.qualcomm.com/news/releases/2026/01/qualcomm-drives-the-future-of-mobility-with-strong-snapdragon-di
S_QCOM_LEAP,company,2026-01-05,Qualcomm,Leapmotor and Qualcomm debut dual-Snapdragon automotive central computer,https://www.qualcomm.com/news/releases/2026/01/leapmotor-and-qualcomm-debuts-world-s-first-automotive-central-c
S_WAYMO_GEELY_21,company,2021-12-28,Waymo,Expanding Waymo One fleet with Geely's Zeekr,https://waymo.com/intl/fil/blog/2021/12/expanding-our-waymo-one-fleet-with/
S_WAYMO_GEELY_25,company,2025-05-05,Waymo,Scaling the Waymo fleet through U.S. manufacturing,https://waymo.com/blog/2025/05/scaling-our-fleet-through-us-manufacturing/
